朋友詞,正面情緒詞,負面情緒詞,人稱代名詞,認知歷程詞,
父母,歡喜,倒楣,我,因為,轉變
朋友,開心,殘忍,你,所以,設計
友誼,高興,無情,他,因此,深思
同伴,喜孜孜,激怒,她,如果,思考
同事,愉悅,諷刺,自己,由於,估算
伴侶,喜悅,批評,自身,如此一來,猜測
知己,平息,不甘,本人,原因,思索
夥伴,安撫,消沉,,究竟,盤算
情人,積極,遺憾,,引起,估摸
愛人,滿意,忽視,,就此,回溯
孩子,成功,失敗,,藉此,佐證
兒子,幸運,墮落,,原來,依據
女兒,順利,憂鬱,,原來如此,揭露
子女,仁慈,抑鬱寡歡,,此外,引發
伙伴,溫柔,鬱悶,,自從,預計
男友,體貼,憤怒,,依照,預想
女友,感恩,忿忿不平,,直到,預測
莫逆,緩和,哀傷,,根據,涉及
爸爸,讚美,悲痛,,針對,牽涉
媽媽,爽快,痛心疾首,,除了,起因
母親,自由,揶揄,,至,因之
父親,喜出望外,痛苦,,直至,為啥
爸,入迷,痛心,,比較,為何
媽,著迷,心酸,,除此之外,為什麼
爸媽,好奇,膽怯,,一直,使得
人們,感動,心有餘悸,,總是,引出
男伴,掛念,妒忌,,最後,由來
女伴,牽掛,反感,,十分,原本
友人,幸福,幸災樂禍,,讓,原理
友,嚮往,羞愧,,就是,緣故
朋,期待,羞恥,,也許,創作
兒,受寵若驚,羞辱,,簡直,創造
咱們,成就,懺悔,,最,創建
一起,豁然開朗,後悔,,應當,創辦
我們,平心靜氣,內疚,,應該,動機
你們,穩定,震驚,,或許,發明
妳們,心安理得,警惕,,如何,企圖
他們,踏實,懷疑,,因果,決策
她們,輕鬆,可疑,,從來,結論
重逢,寧靜,困惑,,果然,斷定
寒暄,鎮定,迷茫,,必然,推斷
親戚,鼓舞,為難,,果真,追溯
知心,支持,無所適從,,何以,定義
慶祝,振奮,消極,,何以見得,證據
聚會,振作,惱羞成怒,,許是,沉思
分享,放鬆,氣餒,,基於,打算
玩耍,歡暢,喪氣,,認為,加強
保護,怡然,掃興,,且,成為
寶貝,疏欣,厭倦,,及,改變
戀人,狂喜,盛怒,,又,理由
親愛的,可惜,震怒,,和,證明
賓客,舒心,悲愴,,可是,了解
訂婚,讚嘆,慘苦,,還是,分析
客人,憐惜,苦澀,,或是,反省
莫逆之交,掛念,悽慘,,或者,理解
社團,眷戀,可憎,,而是,猜想
熟人,傾慕,嫌惡,,只,了解
甜心,遂心,嫌隙,,只是,回憶
同袍,遂願,憋氣,,都,回想
同志,宜人,涔涔,,皆,估計
未婚夫,可人,煩擾,,其實,證明
未婚妻,殷切,惘然,,反而,透露
相識,虔誠,孤寂,,致使,證實
相戀,欣幸,哀怨,,必定,更改
心肝,清爽,哀思,,總之,變化
摯友,寬慰,悵惘,,如此,到底
鄰居,泰然,悶倦,,無論,明白
室友,閒適,愧痛,,僅僅,省思
搭檔,自在,羞憤,,儘管,細想
同夥,激昂,疑懼,,除非,推理
同伙,激越,憂煩,,但是,推測
喜愛,亢奮,憂憤,,但,推估
邀請,忘情,厭棄,,否則,推算
提供,快樂,哭泣,,然而,坦白
談,開心,吵架,,若非,啟發
聊,感激,擔憂,,而且,
見面,鬆快,羞慚,,爾後,
同行,安慰,尷尬,,不由得,
同僚,笑,屈辱,,何況,
助手,豪情,貪婪,,何嘗,
幫手,自豪,懼怕,,其中,
親吻,情趣,自卑,,,
陪伴,幽默,嘲弄,,,
疼愛,享受,淒涼,,,
心愛,歡悅,淒清,,,
養育,謝意,淒楚,,,
簇擁,好運,迷失,,,
珍愛,常勝,不堪,,,
珍視,誠實,委靡,,,
鍾愛,得意,頹廢,,,
愛戀,改善,廢人,,,
協助,改進,無感,,,
幫助,堅強,憂愁,,,
幫忙,榮譽,無能為力,,,
支持,凱旋,失去,,,
擁抱,滿足,毛病,,,
簇擁,能幹,懊悔,,,
姊,強健,強迫,,,
兄,榮幸,艱苦,,,
妹,榮耀,茫然,,,
弟,適當,愚笨,,,
交談,恰當,失敗,,,
家庭,效率,沉痛,,,
家裡人,英雄,警告,,,
家人,優點,煩惱,,,
擁戴,優秀,怒目,,,
歡迎,有效,打死,,,
形影不離,贊同,危險,,,
呵護,稱讚,控制,,,
親近,長處,哭聲,,,
親密,自信,可悲,,,
抱住,最佳,灰心,,,
偕老,棒,攪擾,,,
相親,和諧,扯爛,,,
相愛,豐富,感傷,,,
傾訴,果斷,侵占,,,
,激勵,壓死,,,
,熱情,拳腳交加,,,
,勝利,寂寞,,,
,認可,皺眉,,,
,定心,勉強,,,
,安心,驚擾,,,
,安定,浩劫,,,
,安全,走投無路,,,
,安穩,盲目,,,
,玩樂,淚水,,,
,從容,痛哭,,,
,放心,痛打,,,
,鼓勵,悲涼,,,
,樂趣,悲歌,,,
,悠閒,無力,,,
,悠然,怒滔,,,
,自得,哽咽,,,
,娛樂,驚險,,,
,安適,孤獨,,,
,極好,悽苦,,,
,漂亮,剛愎,,,
,美好,喝斥,,,
,靜好,哀沉,,,
,平和,怔怔,,,
,可口,恐怕,,,
,美味,可怪,,,
,喜歡,苦澀,,,
,開朗,陰鬱,,,
,可愛,惡名昭彰,,,
,平靜,一怒之下,,,
,穩健,落寞,,,
,耀眼,倉皇,,,
,正向,驚魂未定,,,
,驚嘆,不安,,,
